#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16926787","Закрыта","25.09.2021 12:31:53","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 12:31:53","нет","22","22","22","OBO","25.09.2021 12:53:45","22"
"TT16926147","Закрыта","25.09.2021 11:08:16","Претензия","Контент","Абонент ничего не заказывал","27.09.2021 23:08:16","нет","7","7","7","OBO","25.09.2021 11:15:22","7"
"TT16918998","Закрыта","24.09.2021 11:26:42","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","24.01.2022 3:26:42","нет","935","935","935","Technology TT","25.09.2021 3:01:21","935"
"TT16928526","Закрыта","25.09.2021 16:37:53","Претензия","CAMEL/внутрисетевой роуминг","Не зарегистрироваться в гостевой сети","28.09.2021 16:37:53","нет","50","50","50","OBO","25.09.2021 17:27:11","50"
"TT16921357","Закрыта","24.09.2021 15:05:44","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","25.09.2021 15:05:44","нет","1373","1373","1373","B2B Admin","25.09.2021 13:58:17","1373"
"TT16928021","Закрыта","25.09.2021 15:16:41","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 15:16:41","нет","59","59","59","OBO","25.09.2021 16:15:34","59"
"TT16922300","Закрыта","24.09.2021 16:45:50","Администрирование","Администрирование B2C","Корректировка регистрационных данных","26.09.2021 16:45:50","нет","1129","1129","1129","OBO","25.09.2021 11:34:28","1129"
"TT16906624","Закрыта","22.09.2021 17:18:59","Администрирование","Администрирование B2B","Закрытие номеров (частичное)","26.09.2021 5:18:59","нет","3871","3256","584","B2B Admin","25.09.2021 16:26:46","3840"
"TT16906624","Закрыта","22.09.2021 17:18:59","Администрирование","Администрирование B2B","Закрытие номеров (частичное)","26.09.2021 5:18:59","нет","3871","31","31","Corp MOS","23.09.2021 10:10:08","31"
"TT16926133","Закрыта","25.09.2021 11:06:33","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 11:06:33","нет","348","348","348","OBO","25.09.2021 16:54:10","348"
"TT16917867","Закрыта","24.09.2021 9:29:39","Претензия","Контент","Абонент ничего не заказывал","26.09.2021 21:29:39","нет","104","104","104","OBO","25.09.2021 11:28:59","104"
"TT16914251","Закрыта","23.09.2021 16:32:44","Администрирование","Документация В2С","Копии документов для Tele2","26.09.2021 16:32:44","нет","2599","2599","2599","OBO","25.09.2021 11:51:10","2599"
"TT16922029","Закрыта","24.09.2021 16:15:18","Претензия","CAMEL/внутрисетевой роуминг","Нет исходящей связи","27.09.2021 16:15:18","нет","1281","1281","1281","OBO","25.09.2021 13:36:08","1281"
"TT16922708","Закрыта","24.09.2021 17:35:32","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 17:35:32","нет","881","881","881","OBO","25.09.2021 8:16:10","881"
