"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16431812","Закрыта","27.07.2021 3:00:46","Претензия","Тарификация","Текущие акции компании","31.07.2021 3:00:46","нет","30","OBO","30","1"
"TT16431815","Закрыта","27.07.2021 3:03:47","Претензия","Телефония","Недостаточно средств","30.07.2021 3:03:47","нет","2904","OBO","2904","1"
"TT16431816","Закрыта","27.07.2021 3:03:50","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","06.08.2021 3:03:50","нет","13804","BO MOS","13804","1"
"TT16431817","Закрыта","27.07.2021 3:06:21","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 3:06:21","нет","9083","Мониторинг","9083","1"
"TT16431818","Закрыта","27.07.2021 3:07:21","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 3:07:21","нет","2194","OBO","2194","1"
"TT16431820","Закрыта","27.07.2021 3:09:25","Претензия","Мобильные переводы и оплата","Не удалось выполнить перевод/платеж","01.08.2021 3:09:25","нет","4906","OBO","4906","1"
"TT16431823","Закрыта","27.07.2021 3:13:33","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 3:13:33","нет","9087","Мониторинг","9087","1"
"TT16431824","Закрыта","27.07.2021 3:14:18","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 3:14:18","нет","9095","Мониторинг","9095","1"
"TT16431825","Закрыта","27.07.2021 3:14:19","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","25.11.2021 19:14:19","нет","1427","Technology TT","1427","1"
"TT16431827","Назначена на группу","27.07.2021 3:23:12","Претензия","Личный кабинет","Проблема в работе ЛК","31.07.2021 3:23:12","нет","81017","OBO","2983","2"
"TT16431827","Назначена на группу","27.07.2021 3:23:12","Претензия","Личный кабинет","Проблема в работе ЛК","31.07.2021 3:23:12","нет","81017","Billing Support","34742","1"
"TT16431827","Назначена на группу","27.07.2021 3:23:12","Претензия","Личный кабинет","Проблема в работе ЛК","31.07.2021 3:23:12","нет","81017","WEB Support","43292","3"
"TT16431848","Закрыта","27.07.2021 3:26:16","Претензия","Технологическая заявка","Длительные проблемы с сетью","27.07.2022 3:26:16","нет","1415","Technology TT","1415","1"
"TT16431850","Закрыта","27.07.2021 3:31:52","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 3:31:52","нет","9086","Мониторинг","9086","1"
"TT16431853","Закрыта","27.07.2021 3:38:01","Администрирование","Администрирование B2B","Закон Кудрявцева. Предоставление списка номеров","28.07.2021 3:38:01","нет","660","CKBO B2B","660","1"
"TT16431856","Закрыта","27.07.2021 3:48:51","Администрирование","Администрирование B2B","Закон Кудрявцева. Предоставление списка номеров","28.07.2021 3:48:51","нет","684","CKBO B2B","684","1"
"TT16431857","Закрыта","27.07.2021 3:49:43","Претензия","Контент","Абонент ничего не заказывал","29.07.2021 15:49:43","нет","405","OBO","405","1"
"TT16431858","Закрыта","27.07.2021 3:51:31","Претензия","Технологическая заявка","Низкая скорость передачи данных","25.11.2021 19:51:31","нет","1390","Technology TT","1390","1"
"TT16431859","Закрыта","27.07.2021 3:53:52","Администрирование","Администрирование B2B","Перенос денежных средств","28.07.2021 3:53:52","нет","10","CKBO B2B","10","1"
"TT16431861","Закрыта","27.07.2021 3:54:30","Администрирование","Администрирование B2B","Закон Кудрявцева. Предоставление списка номеров","28.07.2021 3:54:30","нет","690","CKBO B2B","690","1"
"TT16431862","Закрыта","27.07.2021 3:54:36","Претензия","Интернет магазин","Жалоба на сайт ИМ","30.07.2021 3:54:36","нет","453","OBO","362","2"
"TT16431862","Закрыта","27.07.2021 3:54:36","Претензия","Интернет магазин","Жалоба на сайт ИМ","30.07.2021 3:54:36","нет","453","Интернет магазин МР СЗ","91","1"
"TT16431864","Закрыта","27.07.2021 3:57:29","Претензия","Контент","Абонент ничего не заказывал","29.07.2021 15:57:29","нет","385","OBO","385","1"
"TT16431867","Закрыта","27.07.2021 4:01:24","Претензия","Контент","Абонент ничего не заказывал","29.07.2021 16:01:24","нет","385","OBO","385","1"
"TT16431873","Закрыта","27.07.2021 4:08:20","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 4:08:20","нет","2071","OBO","2071","1"
"TT16431892","Закрыта","27.07.2021 4:11:42","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 4:11:42","нет","2133","OBO","2133","1"
"TT16431895","Закрыта","27.07.2021 4:12:29","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","25.11.2021 20:12:29","нет","1369","Technology TT","1369","1"
"TT16431900","Закрыта","27.07.2021 4:13:46","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","06.08.2021 4:13:46","нет","13218","OBO","13218","1"
"TT16431902","Закрыта","27.07.2021 4:14:07","MVNO","Передача данных (MVNO)","Низкая скорость","30.07.2021 4:14:07","нет","2273","OBO","368","2"
