#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16907299","Закрыта","22.09.2021 18:57:34","Претензия","Технологическая заявка","Длительные проблемы с сетью","22.09.2022 18:57:34","нет","484","484","484","Technology TT","23.09.2021 3:01:44","484"
"TT16905652","Назначена на группу","22.09.2021 15:39:20","Администрирование","Администрирование B2B","Абонент ничего не заказывал (для нескольких номеров)","24.09.2021 15:39:20","нет","4384","4384","4384","B2B Admin","25.09.2021 16:43:03","4384"
"TT16907026","Закрыта","22.09.2021 18:12:39","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","22.01.2022 10:12:39","нет","529","529","529","Technology TT","23.09.2021 3:01:44","529"
"TT16902324","Закрыта","22.09.2021 10:27:16","Администрирование","Администрирование B2C","Корректировка регистрационных данных","24.09.2021 10:27:16","нет","1393","1393","1393","OBO","23.09.2021 9:40:57","1393"
"TT16906537","Закрыта","22.09.2021 17:09:46","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 9:09:46","нет","592","592","592","Technology TT","23.09.2021 3:01:44","592"
"TT16904819","Закрыта","22.09.2021 14:18:51","Претензия","Тарификация","Ошибка в установленной тарификации","26.09.2021 14:18:51","нет","1282","1156","110","OBO","23.09.2021 11:40:49","1266"
"TT16904819","Закрыта","22.09.2021 14:18:51","Претензия","Тарификация","Ошибка в установленной тарификации","26.09.2021 14:18:51","нет","1282","16","16","Central Product B2B","22.09.2021 16:24:15","16"
"TT16902801","Закрыта","22.09.2021 11:08:18","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","27.09.2021 11:08:18","нет","136","136","136","OBO","22.09.2021 13:24:18","136"
"TT16906624","Закрыта","22.09.2021 17:18:59","Администрирование","Администрирование B2B","Закрытие номеров (частичное)","26.09.2021 5:18:59","нет","3871","3256","584","B2B Admin","25.09.2021 16:26:46","3840"
"TT16906624","Закрыта","22.09.2021 17:18:59","Администрирование","Администрирование B2B","Закрытие номеров (частичное)","26.09.2021 5:18:59","нет","3871","31","31","Corp MOS","23.09.2021 10:10:08","31"
"TT16905295","Закрыта","22.09.2021 15:03:24","Претензия","Тарификация","Текущие акции компании","26.09.2021 15:03:24","нет","93","93","93","OBO","22.09.2021 16:36:45","93"
"TT16906264","Закрыта","22.09.2021 16:41:30","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 8:41:30","нет","620","620","620","Technology TT","23.09.2021 3:01:44","620"
"TT16903974","Закрыта","22.09.2021 12:51:05","Администрирование","Администрирование B2C","Переформление по смерти абонента","27.09.2021 12:51:05","нет","203","203","203","OBO","22.09.2021 17:26:20","203"
"TT16902548","Закрыта","22.09.2021 10:47:35","Администрирование","Администрирование B2C","Переформление по смерти абонента","27.09.2021 10:47:35","нет","122","122","122","OBO","22.09.2021 12:49:48","122"
"TT16905280","Закрыта","22.09.2021 15:02:41","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 7:02:39","нет","719","719","719","Technology TT","23.09.2021 3:01:44","719"
"TT16903958","Закрыта","22.09.2021 12:48:35","Администрирование","Администрирование B2C","Ошибочный наличный платёж","22.09.2021 20:48:35","нет","38","38","38","OBO","22.09.2021 13:26:47","38"
"TT16903756","Закрыта","22.09.2021 12:27:37","Администрирование","Администрирование B2C","Корректировка регистрационных данных","24.09.2021 12:27:37","нет","1265","1265","1265","BO MOS","23.09.2021 9:32:53","1265"
"TT16903676","Назначена на группу","22.09.2021 12:18:37","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на банковские реквизиты)","02.10.2021 12:18:37","нет","","","","","",""
"TT16901380","Ожидание информации","22.09.2021 8:49:35","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","07.10.2021 8:49:35","нет","2974","2974","2974","OBO","24.09.2021 10:23:08","2974"
"TT16905353","Закрыта","22.09.2021 15:08:31","Претензия","NPS","Передача данных - Низкая скорость","22.09.2022 15:08:31","нет","712","712","712","NPS","23.09.2021 3:00:39","712"
"TT16903736","Закрыта","22.09.2021 12:24:49","Администрирование","Администрирование B2C","Ошибочный наличный платёж","22.09.2021 20:24:49","нет","61","61","61","OBO","22.09.2021 13:25:00","61"
"TT16906374","Закрыта","22.09.2021 16:54:06","Претензия","Технологическая заявка","Низкая скорость передачи данных","22.01.2022 8:54:06","нет","607","607","607","Technology TT","23.09.2021 3:01:44","607"
"TT16905689","Закрыта","22.09.2021 15:42:47","Претензия","Проблемы с платежами","Прочие терминалы","25.09.2021 15:42:47","нет","2508","2508","2508","OBO","24.09.2021 9:30:19","2508"
"TT16903405","Закрыта","22.09.2021 11:52:25","Претензия","Телефония","Обрыв звонка","25.09.2021 11:52:25","нет","258","15","15","OBO","22.09.2021 16:10:08","15"
"TT16903405","Закрыта","22.09.2021 11:52:25","Претензия","Телефония","Обрыв звонка","25.09.2021 11:52:25","нет","258","243","243","Tech ARH","22.09.2021 15:55:32","243"
"TT16903757","Закрыта","22.09.2021 12:27:41","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 4:27:41","нет","874","874","874","Technology TT","23.09.2021 3:01:44","874"
"TT16904391","Закрыта","22.09.2021 13:33:09","Претензия","Телефония","Не поступают входящие вызовы","25.09.2021 13:33:09","нет","1371","420","420","OBO","23.09.2021 12:24:37","420"
"TT16904391","Закрыта","22.09.2021 13:33:09","Претензия","Телефония","Не поступают входящие вызовы","25.09.2021 13:33:09","нет","1371","951","951","Tech KYA-ETK","23.09.2021 5:24:50","951"
"TT16907443","Закрыта","22.09.2021 19:26:55","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 7:26:55","нет","12","12","12","OBO","22.09.2021 20:38:24","12"
