"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931814","В работе","10.01.2022 3:57:04","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 3:57:04","нет","0","0","0","B2B Admin","10.01.2022 3:57:14","0"
"TT16931815","Назначена на группу","10.01.2022 3:59:58","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931816","Закрыта","10.01.2022 4:00:55","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:00:55","нет","2","1","1","B2B Admin","10.01.2022 4:01:00","1"
"TT16931816","Закрыта","10.01.2022 4:00:55","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:00:55","нет","2","0","0","OBO","10.01.2022 4:04:27","0"
"TT16931816","Закрыта","10.01.2022 4:00:55","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:00:55","нет","2","1","1","Corp MOS","10.01.2022 4:04:10","1"
"TT16931817","Закрыта","10.01.2022 4:10:06","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:10:06","нет","2","2","2","Corp ORL","10.01.2022 4:12:36","2"
"TT16931818","Назначена на группу","10.01.2022 4:10:43","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931819","Возвращена на доработку","10.01.2022 4:13:28","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:13:28","нет","","","","","",""
"TT16931820","Закрыта","10.01.2022 4:16:51","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:16:51","нет","0","0","0","Corp MOS","10.01.2022 4:19:19","0"
"TT16931821","Закрыта","10.01.2022 4:26:20","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:26:20","нет","0","0","0","Corp MOS","10.01.2022 4:28:49","0"
"TT16931822","Закрыта","10.01.2022 4:38:05","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:38:05","нет","2","2","2","Corp ORL","10.01.2022 4:40:32","2"
"TT16931823","Закрыта","10.01.2022 4:55:06","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:55:06","нет","0","0","0","B2B Admin","10.01.2022 4:55:09","0"
"TT16931823","Закрыта","10.01.2022 4:55:06","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 4:55:06","нет","0","0","0","Corp MOS","10.01.2022 4:57:36","0"
"TT16931824","Закрыта","10.01.2022 5:02:58","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 5:02:58","нет","0","0","0","Corp MOS","10.01.2022 5:05:28","0"
"TT16931825","Закрыта","10.01.2022 5:08:38","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","13.01.2022 5:08:38","нет","2","2","2","DS ORL","10.01.2022 5:10:11","2"
"TT16931826","Закрыта","10.01.2022 5:09:26","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","11.01.2022 5:09:26","нет","1","1","1","DS ORL","10.01.2022 5:10:08","1"
"TT16931827","Закрыта","10.01.2022 5:12:24","Администрирование","Администрирование B2B","Заявка потенциального клиента","11.01.2022 5:12:24","нет","2","2","2","DS ORL","10.01.2022 5:14:09","2"
"TT16931828","Закрыта","10.01.2022 5:13:03","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","11.01.2022 5:13:03","нет","1","1","1","DS ORL","10.01.2022 5:14:05","1"
"TT16931829","Закрыта","10.01.2022 5:14:20","Претензия","WebDealer","Прочее","13.01.2022 5:14:20","нет","1","1","1","OBO","10.01.2022 5:15:08","1"
"TT16931830","Закрыта","10.01.2022 5:16:18","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 5:16:18","нет","0","0","0","B2B Admin","10.01.2022 5:16:22","0"
"TT16931830","Закрыта","10.01.2022 5:16:18","Администрирование","Администрирование B2B","Акт сверки","11.01.2022 5:16:18","нет","0","0","0","Corp MOS","10.01.2022 5:18:48","0"
