Name1;Name2;Name3;Name4;Subnet0;Subnet00;Subnet1;Subnet2;Subnet3;Subnet4;Subnet5;Branch;Town;Macro
wsab;nbab;;;;;10.54.179.;10.12.137.;;;;Abakan;Abakan;Сибирь
wsar;nbar;;;10.77.60.0/25    ;;10.77.60.;;;;;Arkhangelsk;Arkhangelsk;Северо-Запад
wsar;nbar;;;10.77.61.192/28               ;;10.77.61.;;;;;Arkhangelsk;Kotlas;Северо-Запад
wsbn;nbbn;;;;;10.71.179.;;;;;Barnaul;;Сибирь
wsbe;nbbe;;;10.77.49.0/25    ;;10.77.49.;;;;;Belgorod;;Черноземье
wsbb;nbbb;;;10.77.180.0/25;;10.77.180.;;;;;Birobidzhan;;Байкал и Дальний Восток
wsbr;nbbr;;;10.77.100.0/25  ;;10.77.100.;;;;;Bryansk;;Черноземье
wsbr;nbbr;;;10.77.101.64/28               ;;10.77.101.;;;;;Bryansk;Bryansk_B2B_Office;Черноземье
wsvn;nbvn;;;;;10.77.64.;;;;;Veliky Novgorod;;Северо-Запад
wsvk;nbvk;;;;;10.88.179.;;;;;Vladivostok;;Дальний Восток
wsvl;nbvl;;;10.77.148.0/25  ;;10.77.148.;;;;;Vladimir;;Центр
wsvd;nbvd;;;;;10.62.177.;;;;;Volgograd;;Юг
wsva;nbva;;;10.77.132.0/25  ;;10.77.132.;;10.34.177.;;;Vologda;;Северо-Запад
wsva;nbva;;;10.77.133.96/2  ;10.77.133.64/27               ;10.77.133.;;;;;Vologda;Cherepovec / MSC;Северо-Запад
wsvo;nbvo;;;;;10.77.112.;;;;;Voronezh;;Черноземье
wssc;nbsc;;;;;10.77.204.;10.77.205.;10.77.206.;10.77.207.;;Voronezh-SSC;;ЦФ
wsek;nbek;;;;;10.69.178.;;;;;Ekaterinburg;;Урал
wsiv;nbiv;;;;;10.127.177.;;;;;Ivanovo;;Центр
wsiz;nbiz;;;10.77.20.0/25    ;;10.77.20.;;;;;Izhevsk;;Волга
wsir;nbir;;;;;10.57.178.;10.57.179.;10.57.180.;;;Irkutsk;Irkutsk_Sverdlova;Байкал и Дальний Восток
wsir;nbir;;;10.57.182.0/25;;10.57.182.;;;;;Irkutsk;Irkutsk_TechPloshadka;Байкал и Дальний Восток
wsir;nbir;;;;;10.57.183.;;;;;Irkutsk;Bratsk             ;Байкал и Дальний Восток
wszi;nbzi;;;;;10.57.184.;10.57.185.;;;;CC-Irkutsk;;ЦФ
wsyo;nbyo;;;;;10.90.177.;10.90.178.;;;;Yoshkar-Ola;Yoshkar-Ola;Волга
wsyo;nbyo;;;10.90.179.0/29  ;;10.90.179.;;;;;Yoshkar-Ola;YO_For;Волга
wskz;nbkz;;;10.65.181.0/27  ;;10.65.181.;;;;;Kazan;N.Chelny;Волга
wskz;nbkz;;;;;10.65.182.;10.65.183.;10.65.184.;;;Kazan;Kazan_New office;Волга
wskz;nbkz;;;10.65.185.0/26  ;;10.65.185.;;;;;Kazan;AIM;Волга
wskg;nbkg;;;10.77.136.0/25  ;;10.77.136.;;;;;Kaliningrad;;Северо-Запад
wska;nbka;;;10.77.120.0/25  ;;10.77.120.;;;;;Kaluga;;Центр
wske;nbke;;;10.77.36.0/22;;10.77.36.;10.77.37.;10.77.38.;10.77.39.;;Kemerovo;Kemerovo;Сибирь
