"FileSystemObjectType";"Id";"Title";"Reduction";"Description";"URLExternal";"ClassSystem";"BusinessGroup";"CategorySystem";"ShortDescArch";"Requirements";"Resiliency";"DisasterRecovery";"BusinessOwnerId";"ITOwnerId";"SysVendor";"TicketStatus";"OperationStatus";"Comment";"ContentTypeId";"OData__x0417__x0430__x043f__x0438__x04";"Link";"OData__x0417__x0430__x043f__x0438__x040";"Links";"OData__x041f__x0440__x043e__x0432__x04";"OData__x0414__x043e__x043a__x0443__x04";"OData__x0414__x0435__x0440__x0436__x04Id";"OData__x0426__x041a__x002f__x0421__x04";"OData__x041f__x0435__x0440__x0441__x04";"OData__x0412__x043b__x0438__x044f__x04";"OData__x0421__x0438__x0441__x0442__x04";"OData__x0418__x043d__x0442__x0435__x04";"OData__x0412__x0440__x0435__x043c__x04";"contractCodeId";"contractCodeText";"contract";"OData__x0422__x0438__x043f__x0020__x04";"OData__x0422__x0438__x043f__x0020__x040";"OData__x041f__x043b__x0430__x043d__x04";"OData__x041e__x0441__x043d__x043e__x04";"OData__x0414__x043e__x043f__x043e__x04";"OData__x041f__x0440__x0438__x043d__x04";"OData__x0420__x0435__x0433__x0438__x04";"OData__x041f__x043b__x0430__x043d__x00";"OData__x041a__x043e__x0440__x043e__x04";"Modified";"Created";"AuthorId";"EditorId";"OData__UIVersionString";"Attachments";"GUID"
"System.Xml.XmlElement";"System.Object[]";"Web SelfCare";"Web SelfCare";"ТестПлатформа для организации услуг самообслуживания розничных абонентов, например включение/выключение услуг, смена тарифных планов и т.п.";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"2 - Критичная система";"3-х уровневая платформа: презентационный уровень - контейнеры JAVA, сервер приложений - Enterprise JAVA, БД - Oracle";"24х7";"System.Xml.XmlElement";"Да";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Не оказывается";"Вывод из эксплуатации";"Web SelfCare - выводится из эксплуатации 18.06.2017
Был Бизнес-Владелец - Виктор Рупп
Был ИТ Владелец - Девликамов Тимур";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Digital";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"с 00:00 по 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"АСУ";"Платформа (PaaS)";"System.Xml.XmlElement";"Системы управления отношениями с клиентами (CRM) (2.23)";"System.Xml.XmlElement";"Российское";"System.Xml.XmlElement";"System.Xml.XmlElement";"WSCP";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"8.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Web SelfCare B2B";"Web Selfcare B2B";"Портал продаж и самообслуживания для корпоративных клиентов Теле2";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"2 - Критичная система";"3-х уровневая платформа: презентационный уровень - контейнеры JAVA, сервер приложений - Enterprise JAVA, БД - Oracle";"24х7";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"ЗАО ""Беркут""";"Оказывается";"Не используется";"System.Xml.XmlElement";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Digital";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"1.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"IN@Voice";"IN@Voice";"Биллинговая система";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"1 - Система высокой критичности";"Oracle DB (несколько инстансов c региональным деление клиентов)";"24х7";"System.Xml.XmlElement";"Да";"System.Xml.XmlElement";"System.Xml.XmlElement";"ЗАО ""Беркут""";"Оказывается";"Пром. эксплуатация";"RTO (Recovery time objective) - 4
RPO (Recovery point objective) - 1
RCO (Recovery capacity objective) - 0,7";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Billing";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"ЗАО ""Беркут""";"с 00:00 по 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"АСУ";"Сервис/Приложение (SaaS)";"System.Xml.XmlElement";"Информационные системы для решения специфических отраслевых задач (2.32)";"System.Xml.XmlElement";"Отечественное";"АСР IN@Voice, № 3060 от 14.03.2017";"System.Xml.XmlElement";"INV";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"13.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Web Dealer";"Web Dealer";"Система поддержки продаж и обслуживания абонентов для дилеров";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"1 - Система высокой критичности";"3-х уровневая платформа: презентационный уровень - контейнеры JAVA, сервер приложений - Enterprise JAVA, БД - Oracle";"24х7";"System.Xml.XmlElement";"Да";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Оказывается";"Пром. эксплуатация";"изменили категорию на 1, после проекта ""доступный абонент""
Смена БВ ТРЕБОВАНИЕ 72231";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"CRM";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"с 00:00 по 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"АСУ";"Сервис/Приложение (SaaS)";"System.Xml.XmlElement";"Системы управления отношениями с клиентами (CRM) (2.23)";"System.Xml.XmlElement";"Российское";"System.Xml.XmlElement";"System.Xml.XmlElement";"WD";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"17.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"CRM B2B";"CRM B2B";"Система управления взаимоотношениями с корпоративными клиентами Теле2";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"2 - Критичная система";"3-х уровневая платформа: презентационный уровень - контейнеры JAVA, сервер приложений - Enterprise JAVA, БД - Oracle";"24х7";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Не оказывается";"Не используется";"Планируется своп на MS CRM в июле 2018 года
19.10.17 - выведена из эксплуатации
ИТ-Владелец - Devlikamov Timur";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Digital";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"00:00 до 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"1.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Umbrella Interface";"Umbrella";"Приложение для операторов ЗЦ интегрирующее функции множества систем и платформ в едином интерфейсе пользователя";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"2 - Критичная система";"3-х уровневая платформа: презентационный уровень - контейнеры JAVA, сервер приложений - Enterprise JAVA, БД - Oracle";"24х7";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Оказывается";"Не используется";"система выведена из эксплуатации 01,10,2019
зявка на выведение SR02489531";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"CRM";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"с 00:00 по 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Информационные системы для решения специфических отраслевых задач (2.32)";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"9.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Knowledge Management";"KM";"Система управления знаниями для ЗЦ, сотрудников и дилеров";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"3 - Важная система";"Web приложение, PHP/Drupal, MySQL";"8х5";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Не оказывается";"Не используется";"Система заменена на KM UMBRELLA
Владельцем был Кучеров Денис Александровичx";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"с 00:00 до 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"1.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"LMS";"LMS";"LMS или CBT - система управления обучением (в основном сотрудников ЗЦ)";"System.Xml.XmlElement";"Бизнес-приложение";"System.Xml.XmlElement";"4 - Вспомогательная система";"Web приложение, PHP/Drupal, MySQL";"8х5";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"ООО ""МАСС МО""";"Не оказывается";"Не используется";"Бизнес-Владелец - Виктор Рупп";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"с 00:00 до 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"1.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Distribution Database";"DD";"DD - Distribution database - Справочник по дилерам и точкам продаж";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"2 - Критичная система";"Oracle DB";"24х7";"System.Xml.XmlElement";"Да";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Оказывается";"Пром. эксплуатация";"System.Xml.XmlElement";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"NoIT";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"с 00:00 по 06:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"ИС";"Сервис/Приложение (SaaS)";"System.Xml.XmlElement";"Системы хранения данных (1.3)";"System.Xml.XmlElement";"Иностранное";"System.Xml.XmlElement";"System.Xml.XmlElement";"ICM";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"11.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
"System.Xml.XmlElement";"System.Object[]";"Enterprise Data Warehouse (EDW)";"EDW";"System.Xml.XmlElement";"System.Xml.XmlElement";"Будет определена позже";"System.Xml.XmlElement";"2 - Критичная система";"проприетарная архитектура Терадата (отдельные стойки)";"8х5";"System.Xml.XmlElement";"Нет";"System.Xml.XmlElement";"System.Xml.XmlElement";"Терадата";"Оказывается";"Пром. эксплуатация";"смена БВ SR02443933";"0x0100DC6B68CB02A76245BA3281DCF99163C5";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Data";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"Терадата";"с 22:00 до 07:00";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"ИС";"Платформа (PaaS)";"System.Xml.XmlElement";"Системы хранения данных (1.3)";"System.Xml.XmlElement";"Иностранное";"System.Xml.XmlElement";"System.Xml.XmlElement";"EDWH";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"System.Xml.XmlElement";"25.0";"System.Xml.XmlElement";"System.Xml.XmlElement"
